,trial,PBT_acc,P_pmales,BT_pmales
0,MC_singlenuc21_3_Tk53_021220,1.0,0.11764705882352941,0.11764705882352941
1,MC_singlenuc21_6_Tk53_030320,0.75,0.375,0.375
2,MC_singlenuc23_1_Tk33_021220,1.0,0.5454545454545454,0.5454545454545454
3,MC_singlenuc23_8_Tk33_031720,1.0,0.5714285714285714,0.5714285714285714
4,MC_singlenuc24_4_Tk47_030320,0.9090909090909091,0.45454545454545453,0.36363636363636365
5,MC_singlenuc26_2_Tk63_022520,0.6666666666666667,0.0,0.3333333333333333
6,MC_singlenuc28_1_Tk3_022520,1.0,0.3157894736842105,0.3157894736842105
7,MC_singlenuc29_3_Tk9_030320,1.0,0.7142857142857143,0.7142857142857143
8,MC_singlenuc32_5_Tk65_030920,0.9047619047619048,0.0,0.09523809523809523
9,MC_singlenuc34_3_Tk43_030320,1.0,0.5714285714285714,0.5714285714285714
10,MC_singlenuc35_11_Tk61_051220,1.0,0.46153846153846156,0.46153846153846156
11,MC_singlenuc36_2_Tk3_030320,1.0,0.4,0.4
12,MC_singlenuc37_2_Tk17_030320,0.9166666666666666,0.3333333333333333,0.25
13,MC_singlenuc40_2_Tk3_030920,0.9285714285714286,0.21428571428571427,0.2857142857142857
14,MC_singlenuc41_2_Tk9_030920,1.0,0.29411764705882354,0.29411764705882354
15,MC_singlenuc43_11_Tk41_060220,0.8,0.6,0.8
16,MC_singlenuc44_7_Tk65_050720,1.0,0.0,0.0
17,MC_singlenuc45_7_Tk47_050720,1.0,0.46153846153846156,0.46153846153846156
18,MC_singlenuc46_2_Tk53_030920,0.8333333333333334,0.08333333333333333,0.25
19,MC_singlenuc51_2_Tk53_031720,1.0,0.2857142857142857,0.2857142857142857
20,MC_singlenuc54_5_Tk53_051220,0.9230769230769231,0.23076923076923078,0.3076923076923077
21,MC_singlenuc55_2_Tk47_051220,1.0,0.06666666666666667,0.06666666666666667
22,MC_singlenuc56_2_Tk65_051220,0.8,0.13333333333333333,0.2
23,MC_singlenuc58_4_Tk53_060220,0.9285714285714286,0.14285714285714285,0.07142857142857142
24,MC_singlenuc59_4_Tk61_060220,0.8181818181818181,0.2727272727272727,0.2727272727272727
25,MC_singlenuc62_3_Tk65_060220,1.0,0.3125,0.3125
26,MC_singlenuc63_1_Tk9_060220,1.0,0.36363636363636365,0.36363636363636365
27,MC_singlenuc64_1_Tk51_060220,1.0,0.08333333333333333,0.08333333333333333
28,MC_singlenuc65_4_Tk9_072920,0.9166666666666666,0.5,0.4166666666666667
29,MC_singlenuc76_3_Tk47_072920,0.8571428571428572,0.07142857142857142,0.21428571428571427
30,MC_singlenuc80_1_Tk41_072920,0.9,0.2,0.2
31,MC_singlenuc81_1_Tk51_072920,1.0,0.42105263157894735,0.42105263157894735
32,MC_singlenuc82_b2_Tk63_073020,1.0,0.13333333333333333,0.13333333333333333
33,MC_singlenuc86_b1_Tk47_073020,1.0,0.45454545454545453,0.45454545454545453
34,MC_singlenuc90_b1_Tk3_081120,1.0,0.5,0.5
35,MC_singlenuc91_b1_Tk9_081120,1.0,0.2857142857142857,0.2857142857142857
36,MC_singlenuc94_b1_Tk31_081120,1.0,0.3333333333333333,0.3333333333333333
37,MC_singlenuc96_b1_Tk41_081120,1.0,0.8571428571428571,0.8571428571428571
