,exp,Total_Train,Total_Female_Train,Total_Male_Train,Female_Proportion_Train,Male_Proportion_Train,Total_Val,Total_Female_Val,Total_Male_Val,Female_Proportion_Val,Male_Proportion_Val
0,exp1,69053,54130.0,14923,0.7838906347298452,0.2161093652701548,7683,6022.0,1661,0.7838084081738904,0.21619159182610959
1,exp10,28625,26774.0,1851,0.9353362445414847,0.06466375545851528,3198,2991.0,207,0.9352720450281425,0.0647279549718574
2,exp11,50393,38334.0,12059,0.7607008909967654,0.2392991090032346,5609,4266.0,1343,0.7605633802816901,0.23943661971830985
3,exp12,16529,14304.0,2225,0.8653881057535241,0.13461189424647588,1850,1599.0,251,0.8643243243243244,0.13567567567567568
4,exp13,81436,60045.0,21391,0.7373274718797583,0.26267252812024167,9060,6680.0,2380,0.7373068432671082,0.26269315673289184
5,exp14,26168,11912.0,14256,0.4552124732497707,0.5447875267502292,2923,1333.0,1590,0.4560383167978105,0.5439616832021895
6,exp15,11118,8600.0,2518,0.7735204173412484,0.22647958265875157,1247,964.0,283,0.773055332798717,0.2269446672012831
7,exp16,9183,4544.0,4639,0.49482739845366436,0.5051726015463356,1034,511.0,523,0.4941972920696325,0.5058027079303675
8,exp17,15667,11515.0,4152,0.7349843620348503,0.26501563796514965,1750,1288.0,462,0.736,0.264
9,exp18,80510,29997.0,50513,0.37258725624146066,0.6274127437585393,8956,3338.0,5618,0.37271103171058506,0.6272889682894149
10,exp19,12744,5897.0,6847,0.46272755806654114,0.5372724419334589,1427,660.0,767,0.4625087596355992,0.5374912403644009
11,exp2,13469,9088.0,4381,0.6747345756923305,0.32526542430766947,1507,1017.0,490,0.674850696748507,0.32514930325149305
12,exp20,14087,7523.0,6564,0.5340384751898913,0.4659615248101086,1577,845.0,732,0.5358275206087508,0.4641724793912492
13,exp21,14505,0.0,14505,0.0,1.0,1625,0.0,1625,0.0,1.0
14,exp22,42144,29685.0,12459,0.704370728929385,0.29562927107061504,4696,3308.0,1388,0.7044293015332198,0.29557069846678025
15,exp23,49024,38371.0,10653,0.782698270234987,0.21730172976501305,5460,4273.0,1187,0.7826007326007326,0.2173992673992674
16,exp24,36119,23116.0,13003,0.6399955701985105,0.3600044298014895,4025,2576.0,1449,0.64,0.36
17,exp25,78194,67750.0,10444,0.8664347648157148,0.13356523518428523,8702,7539.0,1163,0.8663525626292806,0.13364743737071938
18,exp26,38059,0.0,38059,0.0,1.0,4239,0.0,4239,0.0,1.0
19,exp27,36326,22632.0,13694,0.6230248306997742,0.37697516930022573,4047,2521.0,1526,0.6229305658512478,0.37706943414875216
20,exp3,33929,16143.0,17786,0.4757876742609567,0.5242123257390433,3780,1799.0,1981,0.4759259259259259,0.524074074074074
21,exp4,14254,5279.0,8975,0.370352181843693,0.629647818156307,1594,591.0,1003,0.3707653701380176,0.6292346298619824
22,exp5,17089,10991.0,6098,0.6431622681256949,0.3568377318743051,1912,1231.0,681,0.6438284518828452,0.3561715481171548
23,exp6,57339,33379.0,23960,0.5821343239330996,0.41786567606690034,6381,3717.0,2664,0.5825105782792666,0.41748942172073344
24,exp7,75817,59973.0,15844,0.791023121463524,0.20897687853647598,8436,6673.0,1763,0.7910146989094358,0.20898530109056423
25,exp8,54285,35233.0,19052,0.6490374873353597,0.35096251266464035,6046,3922.0,2124,0.6486933509758518,0.3513066490241482
26,exp9,29657,6360.0,23297,0.21445190005732204,0.7855480999426779,3307,709.0,2598,0.21439371031146054,0.7856062896885395
