,exp,Total_Train,Total_Female_Train,Total_Male_Train,Female_Proportion_Train,Male_Proportion_Train,Total_Val,Total_Female_Val,Total_Male_Val,Female_Proportion_Val,Male_Proportion_Val
0,exp1,66,59,7,0.8939393939393939,0.10606060606060606,18,17,1.0,0.9444444444444444,0.05555555555555555
1,exp10,52,37,15,0.7115384615384616,0.28846153846153844,9,6,3.0,0.6666666666666666,0.3333333333333333
2,exp11,82,63,19,0.7682926829268293,0.23170731707317074,22,17,5.0,0.7727272727272727,0.22727272727272727
3,exp12,38,18,20,0.47368421052631576,0.5263157894736842,8,4,4.0,0.5,0.5
4,exp13,62,41,21,0.6612903225806451,0.3387096774193548,14,9,5.0,0.6428571428571429,0.35714285714285715
5,exp14,57,42,15,0.7368421052631579,0.2631578947368421,14,9,5.0,0.6428571428571429,0.35714285714285715
6,exp15,33,14,19,0.42424242424242425,0.5757575757575758,6,1,5.0,0.16666666666666666,0.8333333333333334
7,exp16,72,43,29,0.5972222222222222,0.4027777777777778,15,10,5.0,0.6666666666666666,0.3333333333333333
8,exp17,53,36,17,0.6792452830188679,0.32075471698113206,17,15,2.0,0.8823529411764706,0.11764705882352941
9,exp18,94,71,23,0.7553191489361702,0.24468085106382978,17,12,5.0,0.7058823529411765,0.29411764705882354
10,exp19,20,7,13,0.35,0.65,4,2,2.0,0.5,0.5
11,exp2,52,38,14,0.7307692307692307,0.2692307692307692,9,6,3.0,0.6666666666666666,0.3333333333333333
12,exp20,43,24,19,0.5581395348837209,0.4418604651162791,12,8,4.0,0.6666666666666666,0.3333333333333333
13,exp21,42,31,11,0.7380952380952381,0.2619047619047619,8,5,3.0,0.625,0.375
14,exp22,82,70,12,0.8536585365853658,0.14634146341463414,17,15,2.0,0.8823529411764706,0.11764705882352941
15,exp23,65,38,27,0.5846153846153846,0.4153846153846154,16,7,9.0,0.4375,0.5625
16,exp24,89,64,25,0.7191011235955056,0.2808988764044944,27,19,8.0,0.7037037037037037,0.2962962962962963
17,exp25,70,59,11,0.8428571428571429,0.15714285714285714,19,16,3.0,0.8421052631578947,0.15789473684210525
18,exp26,47,24,23,0.5106382978723404,0.48936170212765956,10,5,5.0,0.5,0.5
19,exp27,69,59,10,0.855072463768116,0.14492753623188406,17,17,0.0,1.0,0.0
20,exp3,54,31,23,0.5740740740740741,0.42592592592592593,15,11,4.0,0.7333333333333333,0.26666666666666666
21,exp4,44,25,19,0.5681818181818182,0.4318181818181818,9,4,5.0,0.4444444444444444,0.5555555555555556
22,exp5,58,50,8,0.8620689655172413,0.13793103448275862,11,9,2.0,0.8181818181818182,0.18181818181818182
23,exp6,67,59,8,0.8805970149253731,0.11940298507462686,18,15,3.0,0.8333333333333334,0.16666666666666666
24,exp7,66,48,18,0.7272727272727273,0.2727272727272727,15,10,5.0,0.6666666666666666,0.3333333333333333
25,exp8,46,27,19,0.5869565217391305,0.41304347826086957,10,5,5.0,0.5,0.5
26,exp9,50,23,27,0.46,0.54,13,5,8.0,0.38461538461538464,0.6153846153846154
