,trial,PBT_acc,PBT_racc,MG_score
0,MC_singlenuc21_3_Tk53_021220,1.0,0.8823529411764706,3
1,MC_singlenuc21_6_Tk53_030320,0.75,0.625,4
2,MC_singlenuc23_1_Tk33_021220,1.0,0.5454545454545454,10
3,MC_singlenuc23_8_Tk33_031720,1.0,0.5714285714285714,10
4,MC_singlenuc24_4_Tk47_030320,0.9090909090909091,0.5909090909090909,7
5,MC_singlenuc26_2_Tk63_022520,0.6666666666666667,0.8333333333333334,1
6,MC_singlenuc28_1_Tk3_022520,1.0,0.6842105263157895,8
7,MC_singlenuc29_3_Tk9_030320,1.0,0.7142857142857143,9
8,MC_singlenuc32_5_Tk65_030920,0.9047619047619048,0.9523809523809523,0
9,MC_singlenuc34_3_Tk43_030320,1.0,0.5714285714285714,7
10,MC_singlenuc35_11_Tk61_051220,1.0,0.5384615384615384,8
11,MC_singlenuc36_2_Tk3_030320,1.0,0.6,9
12,MC_singlenuc37_2_Tk17_030320,0.9166666666666666,0.7083333333333334,6
13,MC_singlenuc40_2_Tk3_030920,0.9285714285714286,0.75,6
14,MC_singlenuc41_2_Tk9_030920,1.0,0.7058823529411764,8
15,MC_singlenuc43_11_Tk41_060220,0.8,0.7,3
16,MC_singlenuc44_7_Tk65_050720,1.0,1.0,1
17,MC_singlenuc45_7_Tk47_050720,1.0,0.5384615384615384,8
18,MC_singlenuc46_2_Tk53_030920,0.8333333333333334,0.8333333333333334,0
19,MC_singlenuc51_2_Tk53_031720,1.0,0.7142857142857143,2
20,MC_singlenuc54_5_Tk53_051220,0.9230769230769231,0.7307692307692307,5
21,MC_singlenuc55_2_Tk47_051220,1.0,0.9333333333333333,5
22,MC_singlenuc56_2_Tk65_051220,0.8,0.8333333333333333,3
23,MC_singlenuc58_4_Tk53_060220,0.9285714285714286,0.8928571428571429,7
24,MC_singlenuc59_4_Tk61_060220,0.8181818181818181,0.7272727272727273,5
25,MC_singlenuc62_3_Tk65_060220,1.0,0.6875,8
26,MC_singlenuc63_1_Tk9_060220,1.0,0.6363636363636364,9
27,MC_singlenuc64_1_Tk51_060220,1.0,0.9166666666666666,7
28,MC_singlenuc65_4_Tk9_072920,0.9166666666666666,0.5416666666666666,9
29,MC_singlenuc76_3_Tk47_072920,0.8571428571428572,0.8571428571428572,5
30,MC_singlenuc80_1_Tk41_072920,0.9,0.8,5
31,MC_singlenuc81_1_Tk51_072920,1.0,0.5789473684210527,5
32,MC_singlenuc82_b2_Tk63_073020,1.0,0.8666666666666667,6
33,MC_singlenuc86_b1_Tk47_073020,1.0,0.5454545454545454,7
34,MC_singlenuc90_b1_Tk3_081120,1.0,0.5,8
35,MC_singlenuc91_b1_Tk9_081120,1.0,0.7142857142857143,8
36,MC_singlenuc94_b1_Tk31_081120,1.0,0.6666666666666667,7
37,MC_singlenuc96_b1_Tk41_081120,1.0,0.8571428571428571,8
